DistrictNumber,DistrictType,districtName,year,percentLunch
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2006,0.5698005698005698
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2006,0.3324022346368715
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2006,0.20927601809954752
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2006,0.4828571428571429
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2006,0.41338582677165353
2180,01,MACCRAY SCHOOL DISTRICT,2006,0.2888318356867779
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2006,0.31701444622792935
2190,01,YELLOW MEDICINE EAST,2006,0.42293233082706766
2198,01,FILLMORE CENTRAL,2006,0.2890625
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2006,0.5429362880886427
2310,01,SIBLEY EAST SCHOOL DISTRICT,2006,0.3420843277645187
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2006,0.4607438016528926
2342,01,WEST CENTRAL AREA,2006,0.3573200992555831
2358,01,TRI-COUNTY SCHOOL DISTRICT,2006,0.5096525096525096
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2006,0.42245989304812837
2365,01,G.F.W.,2006,0.3415233415233415
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2006,0.37943262411347517
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2006,0.30462519936204147
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2006,0.36027713625866054
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2006,0.4766355140186916
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2006,0.34269005847953216
2536,01,GRANADA HUNTLEY-EAST CHAIN,2006,0.4074074074074074
2580,01,EAST CENTRAL SCHOOL DISTRICT,2006,0.49005847953216375
2609,01,WIN-E-MAC SCHOOL DISTRICT,2006,0.3239171374764595
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2006,0.4230769230769231
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2006,0.2248995983935743
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2006,0.38143459915611816
2711,01,MESABI EAST SCHOOL DISTRICT,2006,0.38666666666666666
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2006,0.384
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2006,0.49921752738654146
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2006,0.3681592039800995
2769,01,MORRIS AREA PUBLIC SCHOOLS,2006,0.23246492985971945
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2006,0.19408181026979981
2835,01,JANESVILLE-WALDORF-PEMBERTON,2006,0.2541436464088398
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2006,0.3693239152371342
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2006,0.4076782449725777
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2006,0.42487046632124353
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2006,0.3165769000598444
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2006,0.3970125786163522
