districtNumber,districtType,districtName,year,dropRate
4025,07,Cyber Village Academy,2012,NA
4026,07,E.c.h.o. Charter School,2012,0
4027,07,Higher Ground Academy,2012,0
4031,07,Jennings Community School,2012,17.14
4036,07,Face To Face Academy,2012,5
4039,07,High School For Recording Arts,2012,11.96
4043,07,Math And Science Academy,2012,0
4049,07,Northwest Passage High School,2012,15.09
4053,07,North Lakes Academy,2012,0
4056,07,Rosa Parks Charter High School,2012,29.63
4057,07,El Colegio Charter School,2012,48.39
4059,07,Crosslake Community Charter School,2012,NA
4066,07,Kato Public Charter School,2012,5.56
4074,07,Afsa High School,2012,3.45
4075,07,Avalon School,2012,0
4080,07,Pillager Area Charter School,2012,27.27
4081,07,Discovery Public School Faribault,2012,7.69
4082,07,Bluesky Charter School,2012,29.95
4085,07,Harbor City International Charter,2012,10.64
4087,07,Sage Academy Charter School,2012,15.79
4091,07,Arcadia Charter School,2012,7.14
4092,07,Watershed High School,2012,17.24
4093,07,New Century Academy,2012,15.63
4095,07,Trio Wolf Creek Distance Learning,2012,14.81
4098,07,Nova Classical Academy,2012,NA
4102,07,Minnesota Internship Center,2012,25.41
4103,07,Hmong College Prep Academy,2012,8.51
4104,07,Paladin Career And Technical High School,2012,6.52
4105,07,Great River School,2012,0
4106,07,Treknorth High School,2012,20
4107,07,Voyageurs Expeditionary,2012,13.33
4110,07,Pim Arts High School,2012,1.3
4111,07,Augsburg Fairview Academy,2012,8
