DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,12,1,0,0,1,1,0,0,0,0,0,0,0,2,3,4,4,3,8,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,All Grades,3,4,0,1,1,1,6,5,0,0,0,3,82,83,92,97,24,189,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,EC,2,0,0,0,1,0,2,0,0,0,1,1,18,14,24,15,7,39,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,KG,1,3,0,1,0,2,8,8,0,0,1,2,66,58,76,74,26,150,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,01,1,3,0,1,5,1,7,1,0,0,2,1,63,62,78,69,22,147,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,02,1,1,0,2,1,1,3,5,0,0,3,0,66,60,74,69,17,143,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,03,3,1,1,2,1,0,4,6,0,0,3,2,72,56,84,67,23,151,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,04,4,2,3,2,2,0,6,6,0,0,0,1,62,54,77,65,26,142,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,05,1,3,1,1,1,0,3,3,0,0,1,1,72,56,79,64,15,143,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,06,1,2,1,0,0,3,3,4,0,0,1,1,53,61,59,71,16,130,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,07,0,0,0,1,1,1,7,6,0,0,5,0,69,66,82,74,21,156,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,08,2,0,1,0,0,0,3,1,0,0,0,1,64,73,70,75,8,145,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,09,3,1,0,2,2,1,11,5,0,0,2,0,80,94,98,103,27,201,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,10,1,0,0,0,4,1,9,4,0,0,4,2,78,73,96,80,25,176,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,11,5,1,0,1,3,1,7,11,0,0,0,1,63,57,78,72,30,150,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,12,2,0,0,0,3,0,2,2,0,1,1,0,71,62,79,65,11,144,District,EC-12,, ,
13-14,57,Pennington                                   ,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  ,000, ,01,01,All Grades,27,17,7,13,24,11,75,62,0,1,24,13,897,846,1054,963,274,2017,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,EC,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,3,0,11,District,EC-12,, ,
