dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
04-05,0011,01,ANOKA-HENNEPIN,02,198,S.T.E.P.,02,6,0,0,0,0,6,0,0,0,0,11
04-05,0011,01,ANOKA-HENNEPIN,02,400,ADAMS EL.,02,546,154,60,44,76,546,154,60,44,76,11
04-05,0011,01,ANOKA-HENNEPIN,02,401,CHAMPLIN EL.,27,431,72,26,0,43,431,72,26,0,43,11
04-05,0011,01,ANOKA-HENNEPIN,02,402,CROOKED LAKE EL.,02,570,51,35,0,61,570,51,35,0,61,11
04-05,0011,01,ANOKA-HENNEPIN,02,403,FRANKLIN EL.,02,357,86,43,0,59,357,86,43,0,59,11
04-05,0011,01,ANOKA-HENNEPIN,02,404,HAMILTON EL.,02,420,102,34,0,62,420,102,34,0,62,11
04-05,0011,01,ANOKA-HENNEPIN,02,405,HOOVER EL.,02,491,94,32,33,74,492,94,32,33,75,11
04-05,0011,01,ANOKA-HENNEPIN,02,406,JEFFERSON EL.,02,716,120,56,84,84,716,120,56,84,84,11
04-05,0011,01,ANOKA-HENNEPIN,02,407,JOHNSVILLE EL.,02,734,117,38,83,77,734,117,38,83,77,11
04-05,0011,01,ANOKA-HENNEPIN,02,408,LINCOLN EL.,02,352,153,31,90,48,352,153,31,90,48,11
04-05,0011,01,ANOKA-HENNEPIN,02,409,L.O. JACOB EL.,02,400,107,35,0,68,400,107,35,0,68,11
04-05,0011,01,ANOKA-HENNEPIN,02,410,MADISON EL.,02,520,75,41,51,64,520,75,41,51,64,11
04-05,0011,01,ANOKA-HENNEPIN,02,411,MCKINLEY EL.,02,826,59,37,30,88,826,59,37,30,88,11
04-05,0011,01,ANOKA-HENNEPIN,02,412,MISSISSIPPI EL.,02,482,122,27,84,64,483,122,27,84,65,11
04-05,0011,01,ANOKA-HENNEPIN,02,413,MONROE EL.,27,546,71,40,63,62,547,71,40,63,63,11
04-05,0011,01,ANOKA-HENNEPIN,02,414,MORRIS BYE EL.,02,604,106,44,0,73,604,106,44,0,73,11
04-05,0011,01,ANOKA-HENNEPIN,02,415,SORTEBERG EL.,02,408,141,54,86,44,408,141,54,86,44,11
04-05,0011,01,ANOKA-HENNEPIN,02,416,RIVERVIEW SPECIALITY SCHOOL,27,400,55,43,77,32,400,55,43,77,32,11
04-05,0011,01,ANOKA-HENNEPIN,02,417,SAND CREEK EL.,02,677,64,38,0,68,677,64,38,0,68,11
04-05,0011,01,ANOKA-HENNEPIN,02,418,UNIVERSITY EL.,02,498,137,58,78,50,498,137,58,78,50,11
04-05,0011,01,ANOKA-HENNEPIN,02,419,WASHINGTON EL.,02,313,56,27,0,53,313,56,27,0,53,11
04-05,0011,01,ANOKA-HENNEPIN,02,420,WILSON EL.,02,575,144,68,147,90,575,144,68,147,90,11
04-05,0011,01,ANOKA-HENNEPIN,02,421,EVERGREEN PARK EL.,27,479,180,52,115,57,479,180,52,115,57,11
04-05,0011,01,ANOKA-HENNEPIN,02,422,EISENHOWER EL.,02,423,97,39,24,53,423,97,39,24,53,11
04-05,0011,01,ANOKA-HENNEPIN,02,423,RAMSEY EL.,02,1062,97,66,0,170,1062,97,66,0,170,11
04-05,0011,01,ANOKA-HENNEPIN,02,424,DAYTON EL.,27,659,67,19,61,63,659,67,19,61,63,11
04-05,0011,01,ANOKA-HENNEPIN,02,425,OXBOW CREEK EL.,27,1034,135,70,145,118,1034,135,70,145,118,11
04-05,0011,01,ANOKA-HENNEPIN,02,426,ANDOVER EL.,02,1369,73,33,0,146,1369,73,33,0,146,11
04-05,0011,01,ANOKA-HENNEPIN,02,427,RUM RIVER EL.,02,904,49,33,0,103,904,49,33,0,103,11
04-05,0011,01,ANOKA-HENNEPIN,02,428,PETER ENICH KDG. CTR.,02,316,35,18,0,38,316,35,18,0,38,11
04-05,0011,01,ANOKA-HENNEPIN,02,429,PARK VIEW EARLY CHILDHOOD CTR.,27,369,46,24,28,20,369,46,24,28,20,11
04-05,0011,01,ANOKA-HENNEPIN,02,434,CHAMPLIN PLAZA ALC,27,80,1,1,0,8,80,1,1,0,8,11
04-05,0011,01,ANOKA-HENNEPIN,02,435,ANDOVER DOWNTOWN CTR ALC,02,46,2,0,0,2,46,2,0,0,2,11
04-05,0011,01,ANOKA-HENNEPIN,02,436,BRIDGES,02,51,9,1,0,51,51,9,1,0,51,11
04-05,0011,01,ANOKA-HENNEPIN,02,437,EARLY CHILDHOOD/SP. ED.,02,0,0,0,0,0,561,14,2,0,561,11
04-05,0011,01,ANOKA-HENNEPIN,02,438,TEEN PREGNANCY (NON RESIDENT),02,1,0,0,0,0,1,0,0,0,0,11
04-05,0011,01,ANOKA-HENNEPIN,02,464,ANTHONY LOUIS HOUSE,02,15,1,0,0,4,15,1,0,0,4,11
04-05,0011,01,ANOKA-HENNEPIN,02,467,BELL CENTER,02,73,29,12,0,72,73,29,12,0,72,11
04-05,0011,01,ANOKA-HENNEPIN,02,468,TRANSITION PLUS,02,242,32,10,0,240,242,32,10,0,240,11
04-05,0011,01,ANOKA-HENNEPIN,02,469,UNIVERSITY CREEK ALC,02,76,8,1,1,7,76,8,1,1,7,11
04-05,0011,01,ANOKA-HENNEPIN,02,812,MIDDLE LEVEL ALTERNATIVE SCHOOL,02,38,15,5,1,5,38,15,5,1,5,11
04-05,0012,01,CENTENNIAL,02,164,CENTENNIAL SR.,02,2124,135,55,10,297,2124,135,55,10,297,11
04-05,0012,01,CENTENNIAL,02,166,CENTENNIAL MID.,02,1739,143,57,16,203,1739,143,57,16,203,11
04-05,0012,01,CENTENNIAL,02,167,C.A.L.C.,02,92,9,3,0,5,92,9,3,0,5,11
04-05,0012,01,CENTENNIAL,02,510,CENTENNIAL EL.,02,530,62,37,9,65,530,62,37,9,65,11
04-05,0012,01,CENTENNIAL,02,511,CENTERVILLE EL.,02,583,28,18,0,60,583,28,18,0,60,11
04-05,0012,01,CENTENNIAL,02,512,GOLDEN LAKE EL.,02,399,69,20,22,63,399,69,20,22,63,11
04-05,0012,01,CENTENNIAL,02,513,RICE LAKE EL.,02,812,13,8,0,85,812,13,8,0,85,11
04-05,0012,01,CENTENNIAL,02,514,EARLY CHILDHOOD CENTER,02,0,0,0,0,0,83,9,1,0,83,11
04-05,0012,01,CENTENNIAL,02,515,BLUE HERON EL.,02,671,49,18,0,55,671,49,18,0,55,11
04-05,0013,01,COLUMBIA HEIGHTS,02,016,COLUMBIA HEIGHTS SR.,02,974,389,74,134,109,974,389,74,134,109,11
04-05,0013,01,COLUMBIA HEIGHTS,02,017,CENTRAL MID.,02,668,330,57,106,76,668,330,57,106,76,11
04-05,0013,01,COLUMBIA HEIGHTS,02,515,HIGHLAND EL.,02,419,235,30,138,37,419,235,30,138,37,11
04-05,0013,01,COLUMBIA HEIGHTS,02,517,NORTH PARK EL.,02,458,220,41,99,43,458,220,41,99,43,11
04-05,0013,01,COLUMBIA HEIGHTS,02,520,VALLEY VIEW EL.,02,444,219,51,114,46,444,219,51,114,46,11
04-05,0013,01,COLUMBIA HEIGHTS,02,813,EARLY CHILDHOOD,02,0,0,0,0,0,32,1,0,0,32,11
04-05,0014,01,FRIDLEY,02,022,FRIDLEY SR.,02,805,219,67,52,102,805,219,67,52,102,11
04-05,0014,01,FRIDLEY,02,023,FRIDLEY MID.,02,770,246,77,58,101,770,246,77,58,101,11
04-05,0014,01,FRIDLEY,02,546,HAYES EL.,02,430,129,38,69,29,456,131,39,69,55,11
04-05,0014,01,FRIDLEY,02,550,STEVENSON EL.,02,402,161,44,67,33,402,161,44,67,33,11
04-05,0014,01,FRIDLEY,02,551,TRANSITIONS SCHOOL,02,9,1,0,0,9,9,1,0,0,9,11
04-05,0014,01,FRIDLEY,02,552,FRIDLEY MOORE LAKE ALTERNATIVE,02,70,20,4,0,6,70,20,4,0,6,11
04-05,0014,01,FRIDLEY,02,652,FRIDLEY MID. ALC,02,12,1,1,0,1,12,1,1,0,1,11
04-05,0015,01,ST. FRANCIS,02,122,ST. FRANCIS HIGH SCHOOL,02,1831,152,111,3,133,1831,152,111,3,133,11
04-05,0015,01,ST. FRANCIS,02,123,ST. FRANCIS MIDDLE SCHOOL,02,939,112,63,9,75,939,112,63,9,75,11
04-05,0015,01,ST. FRANCIS,02,140,TRANSITION 15,02,11,0,0,0,11,11,0,0,0,11,11
04-05,0015,01,ST. FRANCIS,02,141,ST. FRANCIS INTERMEDIATE SCHOOL,02,443,74,30,15,65,443,74,30,15,65,11
04-05,0015,01,ST. FRANCIS,02,780,ECSE@ ISD 15 LIFELONG LEARNING,02,0,0,0,0,0,81,0,0,0,81,11
