DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,03        ,455,65,28,11,11,59,455,65,28,11,11,59,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,04        ,468,74,21,10,10,78,468,74,21,10,10,78,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,05        ,455,70,28,7,7,79,455,70,28,7,7,79,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,06        ,531,46,25,2,2,76,531,46,25,2,2,76,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,07        ,514,74,29,3,3,81,514,74,29,3,3,81,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,08        ,542,63,28,5,5,84,542,63,28,5,5,84,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,09        ,526,85,27,12,12,66,526,85,27,12,12,66,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,10        ,554,77,27,2,2,83,554,77,27,2,2,83,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,11        ,577,54,21,2,2,66,577,54,21,2,2,66,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,12        ,594,67,25,1,1,91,594,67,25,1,1,91,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,All Grades,6531,838,308,91,91,885,6621,855,313,91,91,975,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,EC        ,NULL,NULL,NULL,NULL,NULL,NULL,65,23,NULL,NULL,NULL,65,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,KG        ,252,156,16,73,73,18,252,156,16,73,73,18,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,01        ,263,185,19,123,123,27,263,185,19,123,123,27,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,02        ,211,147,26,88,88,16,211,147,26,88,88,16,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,03        ,209,135,20,77,77,30,209,135,20,77,77,30,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,04        ,230,146,22,84,84,40,230,146,22,84,84,40,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,05        ,194,136,19,68,68,36,194,136,19,68,68,36,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,06        ,216,147,20,54,54,41,216,147,20,54,54,41,  , ,EC-12,  
