districtNumber,districtType,districtName,year,averageScore,percentPassed
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2012,58.8,88.7
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2012,54.8,76.1
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2012,57.3,81.5
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2012,56.2,82.9
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2012,53,87.5
0915,52,SOUTHERN PLAINS EDUCATION COOP.,2012,38.8,10
0916,06,NORTHEAST METRO 916,2012,42,29.4
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2012,46.9,41.2
0926,83,REGION 4-LAKES COUNTRY SERVICE COOP,2012,NA,NA
0930,53,CARVER-SCOTT EDUCATIONAL COOP.,2012,45,33.3
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2012,NA,NA
0957,51,OAK LAND VOCATIONAL COOPERATVE,2012,46.1,44.4
0966,51,WRIGHT TECHNICAL CENTER,2012,46.1,44.4
0991,83,REGN 6 AND 8-SW/WC SRV COOPERATIVE,2012,45.4,42.9
0993,52,MN RIVER VALLEY SPECIAL ED. COOP.,2012,42.9,23.5
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2012,57.7,88
2125,01,TRITON SCHOOL DISTRICT,2012,57.7,76.7
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2012,56.9,80.8
2135,01,MAPLE RIVER SCHOOL DISTRICT,2012,57.9,87.3
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2012,56.4,84
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2012,54,72.8
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2012,55.5,78.7
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2012,59.1,87.3
2149,01,MINNEWASKA SCHOOL DISTRICT,2012,57.4,84.8
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2012,57.4,88.3
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2012,57.5,80.9
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2012,54.6,78.9
2164,01,DILWORTH-GLYNDON-FELTON,2012,58.8,86.4
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2012,54.3,77.8
2167,01,LAKEVIEW SCHOOL DISTRICT,2012,56.8,82.9
2168,01,NRHEG SCHOOL DISTRICT,2012,56.2,82.3
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2012,59.2,84.4
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2012,54.6,78.2
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2012,58.1,90.5
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2012,57.7,89.3
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2012,55.2,81
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2012,61.5,100
2180,01,M.A.C.C.R.A.Y. SCHOOL DISTRICT,2012,56,67.3
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2012,57.8,91.1
2190,01,YELLOW MEDICINE EAST,2012,55.8,78.8
2198,01,FILLMORE CENTRAL,2012,57.9,92.3
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2012,58.6,78.3
2310,01,SIBLEY EAST SCHOOL DISTRICT,2012,56,82.3
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2012,48.1,42.9
2342,01,WEST CENTRAL AREA,2012,60.4,94.8
2358,01,TRI-COUNTY SCHOOL DISTRICT,2012,56.4,83.3
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2012,57,88.9
2365,01,G.F.W.,2012,55.9,78.3
2396,01,A.C.G.C.,2012,56.9,85.4
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2012,54.7,78.1
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2012,55.1,69.4
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2012,59.7,93.3
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2012,56.4,86.4
2536,01,GRANADA HUNTLEY-EAST CHAIN,2012,54.1,86.4
2580,01,EAST CENTRAL SCHOOL DISTRICT,2012,54.5,81.4
2609,01,WIN-E-MAC SCHOOL DISTRICT,2012,55.9,86.4
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2012,60.2,90.6
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2012,55.9,78.6
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2012,55.7,81
2711,01,MESABI EAST SCHOOL DISTRICT,2012,58.3,84.2
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2012,57.7,82.4
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2012,55.1,73.1
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2012,56.3,83.8
2759,01,EAGLE VALLEY PUBLIC SCHOOL DISTRICT,2012,45.8,41.7
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2012,60.5,92
2835,01,JANESVILLE-WALDORF-PEMBERTON,2012,57.5,87.2
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2012,55.2,67.5
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2012,55.9,80.4
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2012,62.6,86.2
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2012,58.1,83.6
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2012,59.1,86.4
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2012,59.7,100
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2012,50.3,58.3
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2012,57.9,87.9
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2012,57.7,81
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2012,54.3,71.4
2895,01,JACKSON COUNTY CENTRAL SCHOOL DIST.,2012,55.4,79.1
2897,01,REDWOOD AREA SCHOOL DISTRICT,2012,57.9,84.7
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2012,48.8,57.1
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2012,57.6,85
2902,01,RTR PUBLIC SCHOOLS,2012,58.6,90.2
2903,01,ORTONVILLE PUBLIC SCHOOLS,2012,58.2,84
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2012,54.6,75
4000,07,CITY ACADEMY,2012,NA,NA
4003,07,"NEW HEIGHTS SCHOOL, INC.",2012,49.1,43.8
