districtNumber,districtType,districtName,year,averageScore,percentPassed
0138,01,North Branch Public Schools,2013,56.8,77.9
0139,01,Rush City Public School District,2013,50.9,63.8
0146,01,Barnesville Public School Dist.,2013,54.5,65.7
0150,01,Hawley Public School District,2013,53.1,63.2
0152,01,Moorhead Public School District,2013,52.4,62.7
0160,70,Minnesota State Academies,2013,42.3,31.6
0162,01,Bagley Public School District,2013,50,53
0166,01,Cook County Public Schools,2013,51.6,62.5
0173,01,Mountain Lake Public Schools,2013,51.4,62.5
0177,01,Windom Public School District,2013,56.7,74.1
0181,01,Brainerd Public School District,2013,55.5,71.4
0182,01,Crosby-Ironton Public School Dist.,2013,53,60.2
0186,01,Pequot Lakes Public Schools,2013,53.6,76.7
0191,01,Burnsville Public School District,2013,51.2,59.3
0192,01,Farmington Public School District,2013,55.6,75.5
0194,01,Lakeville Public School District,2013,58,81
0195,01,Randolph Public School District,2013,50.7,54.8
0196,01,Rosemount-Apple Valley-Eagan,2013,58.2,79.5
0197,01,West St. Paul-Mendota Hts.-Eagan,2013,55.4,68.3
0199,01,Inver Grove Heights Schools,2013,53.7,63.7
0200,01,Hastings Public School District,2013,58.5,80.7
0203,01,Hayfield Public School District,2013,54.8,60.8
0204,01,Kasson-Mantorville School District,2013,58.2,80.9
0206,01,Alexandria Public School District,2013,57.5,78.5
0207,01,Brandon Public School District,2013,52.6,70.8
0213,01,Osakis Public School District,2013,60.1,81.6
0227,01,Chatfield Public Schools,2013,55.5,71.2
0229,01,Lanesboro Public School District,2013,55.1,77.8
0238,01,Mabel-Canton Public School Dist.,2013,55.5,80
0239,01,Rushford-Peterson Public Schools,2013,56,80
0241,01,Albert Lea Public School District,2013,52.9,61.2
0242,01,Alden-Conger Public School District,2013,54.8,70.8
0252,01,Cannon Falls Public School District,2013,52.8,64.6
0253,01,Goodhue Public School District,2013,49.2,54
0255,01,Pine Island Public School Dist.,2013,57.7,75.3
0256,01,Red Wing Public School District,2013,53.2,65
0261,01,Ashby Public School District,2013,51,55
0264,01,Herman-Norcross School District,2013,NA,NA
0270,01,Hopkins Public School District,2013,54.7,69.2
0271,01,Bloomington Public School District,2013,56.6,72.7
0272,01,Eden Prairie Public School District,2013,57.9,76.8
0273,01,Edina Public School District,2013,63.1,90.8
0276,01,Minnetonka Public School District,2013,60.4,84.7
0277,01,Westonka Public School District,2013,60.9,90.6
0278,01,Orono Public School District,2013,59.5,82.8
0279,01,Osseo Public School District,2013,53.1,62.7
0280,01,Richfield Public School District,2013,49.8,54.4
0281,01,Robbinsdale Public School District,2013,48.6,50.1
0282,01,St. Anthony-New Brighton Schools,2013,59.2,80.8
0283,01,St. Louis Park Public School Dist.,2013,53.5,64.6
0284,01,Wayzata Public School District,2013,63.2,88.2
0286,01,Brooklyn Center School District,2013,45.9,40.6
0287,06,Intermediate School District 287,2013,35.6,10.2
0294,01,Houston Public School District,2013,46.5,41.9
0297,01,Spring Grove School District,2013,53.1,62.1
0299,01,Caledonia Public School District,2013,54,71.2
0300,01,La Crescent-Hokah School District,2013,56.5,75.7
0306,01,Laporte Public School District,2013,48.3,50
0308,01,Nevis Public School District,2013,52.5,65.1
0309,01,Park Rapids Public School District,2013,52.1,63.8
0314,01,Braham Public School District,2013,52.2,65.2
0316,01,Greenway Public School District,2013,48.8,47.7
0317,01,Deer River Public School District,2013,54.1,72.2
0318,01,Grand Rapids Public School District,2013,52.4,61.1
0319,01,Nashwauk-Keewatin School District,2013,46.7,47.1
0330,01,Heron Lake-Okabena School District,2013,54.5,63.6
0332,01,Mora Public School District,2013,51.8,64.4
0333,01,Ogilvie Public School District,2013,51.2,61.3
0345,01,New London-Spicer School District,2013,53,63.6
0347,01,Willmar Public School District,2013,50.2,51.9
0356,01,Lancaster Public School District,2013,NA,NA
0361,01,International Falls School District,2013,51.3,56.3
0362,01,Littlefork-Big Falls School Dist.,2013,65.1,92.9
0363,01,South Koochiching School District,2013,48.5,52.6
0378,01,Dawson-Boyd Public School District,2013,56.1,75.7
0381,01,Lake Superior Public School Dist.,2013,53.4,64.4
0390,01,Lake Of The Woods School District,2013,56.1,78.4
0391,01,Cleveland Public School District,2013,54.5,66.7
0402,01,Hendricks Public School District,2013,NA,NA
0403,01,Ivanhoe Public School District,2013,55.8,66.7
0413,01,Marshall Public School District,2013,52.3,60.6
0414,01,Minneota Public School District,2013,58.1,78.3
0423,01,Hutchinson Public School District,2013,55.6,69.9
0424,01,Lester Prairie Public School Dist.,2013,53.7,63.6
0432,01,Mahnomen Public School District,2013,48.2,52
0435,01,Waubun-Ogema-White Earth Public Sch,2013,48.2,40
0441,01,Marshall County Central Schools,2013,48.2,57.1
0447,01,Grygla Public School District,2013,51.9,61.1
0458,01,Truman Public School District,2013,48.4,42.1
0463,01,Eden Valley-Watkins School District,2013,57.3,79.2
0465,01,Litchfield Public School District,2013,53.6,69.6
0466,01,Dassel-Cokato Public School Dist.,2013,55.7,68.3
0473,01,Isle Public School District,2013,56.9,73.5
0477,01,Princeton Public School District,2013,50.3,56.2
0480,01,Onamia Public School District,2013,50.4,52.8
0482,01,Little Falls Public School District,2013,52.2,61.3
0484,01,Pierz Public School District,2013,54.4,72.5
0485,01,Royalton Public School District,2013,52,59.5
0486,01,Swanville Public School District,2013,51,53.3
0487,01,Upsala Public School District,2013,54.1,60.7
0492,01,Austin Public School District,2013,49.9,52
0495,01,Grand Meadow Public School District,2013,50.4,55
