districtNumber,districtType,districtName,year,percentEng
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2007,1
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2007,0.998677248677249
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2007,0.859431900946832
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2007,0.987895716945996
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2007,0.881274645635724
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2007,0.977033492822966
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2007,0.991831971995333
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2007,0.986213529977557
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2007,0.966534566270365
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DISTRICT,2007,0.957615894039735
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2007,0.885829145728643
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2007,0.960212201591512
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2007,0.992
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DISTRICT,2007,1
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2007,0.938271604938272
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2007,0.992039800995025
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DISTRICT,2007,1
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2007,0.978043912175649
0801,01,BROWNS VALLEY PUBLIC SCHOOL DISTRICT,2007,0.992647058823529
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2007,0.990888382687927
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DISTRICT,2007,0.996830427892235
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2007,0.973684210526316
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2007,1
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2007,0.986767485822306
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2007,1
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2007,0.911439114391144
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2007,0.965167306637411
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2007,0.975923482849604
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DISTRICT,2007,0.906286486818657
0834,01,STILLWATER AREA PUBLIC SCHOOL DISTRICT,2007,0.977454968041836
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2007,0.758620689655172
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2007,0.737967914438503
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2007,0.760493827160494
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2007,0.961142857142857
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2007,0.981566820276498
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DISTRICT,2007,0.880952380952381
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DISTRICT,2007,0.974496644295302
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2007,0.930619796484736
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2007,0.936619718309859
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2007,0.990745781164943
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,2007,0.977893601725377
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2007,0.995852534562212
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2007,0.993801652892562
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2007,0.956775997965929
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2007,0.978193146417445
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,2007,0.947474747474747
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2007,0.987762237762238
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,2007,0.971774995030809
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2007,0.993723849372385
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DISTRICT,2007,1
0915,52,SOUTHERN PLAINS EDUCATION COOPERATIVE,2007,0.914634146341463
0916,06,NORTHEAST METRO 916,2007,0.907759882869693
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2007,0.976363636363636
0926,83,REGION 4-LAKES COUNTRY SERVICE COOPERATIVE,2007,1
0935,52,FERGUS FALLS AREA SPECIAL EDUCATION COOPERATIVE,2007,1
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2007,1
0966,51,WRIGHT TECHNICAL CENTER,2007,1
0991,83,REGION 6 AND 8 SW/WC SERVICE COOPERATIVE,2007,0.833333333333333
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2007,0.989010989010989
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2007,1
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2007,0.996010638297872
2125,01,TRITON SCHOOL DISTRICT,2007,0.900091659028414
2134,01,UNITED SOUTH CENTRAL SCHOOL DISTRICT,2007,0.972322503008424
2135,01,MAPLE RIVER SCHOOL DISTRICT,2007,0.990049751243781
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2007,0.998699609882965
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2007,0.997688395746648
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN PUBLIC SCHOOL DISTRICT,2007,0.962765957446808
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2007,0.982845894263217
2149,01,MINNEWASKA SCHOOL DISTRICT,2007,0.99835255354201
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2007,0.995478522984175
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2007,0.983065953654189
2159,01,BUFFALO LAKE-HECTOR-STEWART PUBLIC SCHOOL,2007,0.869801084990958
2164,01,DILWORTH-GLYNDON-FELTON,2007,0.956221198156682
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2007,0.979342723004695
2167,01,LAKEVIEW SCHOOL DISTRICT,2007,0.972222222222222
2168,01,NRHEG SCHOOL DISTRICT,2007,1
2169,01,MURRAY COUNTY CENTRAL SCHOOL DISTRICT,2007,0.960810810810811
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2007,0.98594674556213
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2007,1
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2007,0.959776536312849
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2007,0.99496475327291
2176,01,WARREN-ALVARADO-OSLO SCHOOL DISTRICT,2007,0.903765690376569
2180,01,M.A.C.C.R.A.Y. SCHOOL DISTRICT,2007,0.990604026845638
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2007,0.958904109589041
2190,01,YELLOW MEDICINE EAST,2007,0.915057915057915
2198,01,FILLMORE CENTRAL,2007,1
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2007,0.994350282485876
2310,01,SIBLEY EAST SCHOOL DISTRICT,2007,0.830065359477124
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2007,0.987394957983193
2342,01,WEST CENTRAL AREA,2007,0.992462311557789
2358,01,TRI-COUNTY SCHOOL DISTRICT,2007,1
2364,01,BELGRADE-BROOTEN-ELROSA PUBLIC SCHOOL DISTRICT,2007,0.926729986431479
2365,01,G.F.W.,2007,0.936739659367397
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2007,0.99400479616307
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2007,0.897203947368421
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2007,0.992709599027947
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2007,0.95221843003413
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN PUBLIC SCHOOL DISTRICT,2007,0.883333333333333
2536,01,GRANADA HUNTLEY-EAST CHAIN,2007,0.992805755395683
2580,01,EAST CENTRAL SCHOOL DISTRICT,2007,1
2609,01,WIN-E-MAC SCHOOL DISTRICT,2007,0.807539682539683
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DISTRICT,2007,1
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2007,0.972027972027972
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2007,0.960548885077187
2711,01,MESABI EAST SCHOOL DISTRICT,2007,0.99774011299435
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2007,0.947368421052632
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DISTRICT,2007,0.822866344605475
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2007,0.973809523809524
2769,01,MORRIS AREA PUBLIC SCHOOLS,2007,NA
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2007,0.994685562444641
2835,01,JANESVILLE-WALDORF-PEMBERTON,2007,0.99811320754717
2853,01,LAC QUI PARLE VALLEY SCHOOL DISTRICT,2007,0.953751284686536
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2007,0.962546816479401
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2007,0.980821917808219
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2007,0.869331742243437
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2007,0.952922077922078
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2007,0.983157894736842
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2007,1
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2007,0.90818858560794
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2007,1
2890,01,RENVILLE COUNTY WEST SCHOOL DISTRICT,2007,0.812995245641838
2895,01,JACKSON COUNTY CENTRAL SCHOOL DISTRICT,2007,0.95840554592721
2897,01,REDWOOD AREA SCHOOL DISTRICT,2007,0.981989036805012
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2007,0.724137931034483
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2007,0.96078431372549
2902,01,RTR PUBLIC SCHOOLS,2007,0.989304812834225
2903,01,ORTONVILLE PUBLIC SCHOOLS,2007,NA
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2007,NA
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2007,NA
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCHOOLS,2007,NA
