districtName,actCode,year,score
Central School District 108,247094,2017,20.8
Chatfield Pub School Dist 227,247570,2017,20.1
Chisago Lakes Isd 2144,247124,2017,21.3
Chisholm Ind School Dist 695,247728,2017,20.8
Chokio-Alberta Ind Sd 771,247822,2017,19.1
Clearbrook-Gonvick Sd 2311,247148,2017,18.8
Cleveland Public Sch Dist 391,247396,2017,20.1
Climax-Shelly Ind Sch Dist 592,247618,2017,19.3
Clnton-Gracevl-Brdsley Sd 2888,247046,2017,19.3
Cloquet Ind School District 94,247080,2017,22.1
Columbia Heights Isd 13,247012,2017,17.6
Comfrey Ind School District 81,247064,2017,19.1
Cook Co Sch Dist 166,247152,2017,19.7
Cromwell-Wright Ind Sd 95,247082,2017,21.1
Crookston Ind School Dist 593,247620,2017,19.9
Crosby-Ironton School Dist 182,247164,2017,21.6
Dassel-Cokato Ind Sch Dist 466,247486,2017,20.8
Dawson-Boyd Isd 378,247388,2017,22
Deer River Ind School Dist 317,247340,2017,18.6
Delano Ind School District 879,247910,2017,23.5
Detroit Lakes Ind Sch Dist 22,247022,2017,20.8
Dilworth-Glyndn-Feltn Isd 2164,247134,2017,20.7
Dover-Eyota Ind Sch Dist 533,247564,2017,21.8
Duluth Ind School District 709,247730,2017,21.7
East Central Isd 2580,247604,2017,21.3
East Grand Forks Ind Sd 595,247622,2017,20
Eastern Carver Co Schools,247092,2017,23
Eden Prairie Ind Sch Dist 272,247284,2017,24
Eden Valley-Watkins Ind Sd 463,247488,2017,20.3
Edgerton Ind School Dist 581,247610,2017,19
Edina Public School Dist 273,247286,2017,26.3
Elk River Ind School Dist 728,247774,2017,21.9
Ellsworth Ind School Dist 514,247540,2017,NA
Ely Ind School District 696,247732,2017,22.4
Esko Ind School District 99,247086,2017,22.5
Eveleth-Gilbert Sch Dist 2154,247734,2017,19.9
Fairmont Area School Dist 2752,247466,2017,20.5
Faribault Ind School Dist 656,247702,2017,19.4
Farmington Ind School Dist 192,247172,2017,21.1
Fergus Falls Ind Sch Dist 544,247576,2017,20.8
Fertile-Beltrami Ind Sd 599,247626,2017,21.2
Fillmore Central Sch Dist 2198,247238,2017,20.7
Fisher Ind School District 600,247628,2017,21.2
Floodwood Ind School Dist 698,247736,2017,17.9
Foley Ind School District 51,247040,2017,20.9
