dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
00-01,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,04,19,11,8,6,62,45,24,12,61,59,987,889,1142,1011,277,2153,11
00-01,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,05,19,11,11,5,53,51,33,27,54,48,1014,1025,1165,1156,282,2321,11
00-01,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,06,19,11,10,9,52,43,28,17,63,41,961,976,1114,1086,263,2200,11
00-01,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,07,19,11,9,2,63,56,18,16,54,57,978,962,1122,1093,275,2215,11
00-01,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,08,19,11,9,6,62,56,13,15,46,59,983,969,1113,1105,266,2218,11
00-01,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,09,19,11,3,3,60,53,18,21,48,35,1004,1001,1133,1113,241,2246,11
00-01,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,10,19,11,6,3,52,69,18,15,52,43,982,948,1110,1078,258,2188,11
00-01,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,11,19,11,3,4,54,57,16,25,27,26,948,919,1048,1031,212,2079,11
00-01,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,12,19,11,8,3,52,52,19,19,32,29,925,910,1036,1013,214,2049,11
00-01,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,KG,19,11,5,4,57,41,19,14,45,50,896,836,1022,945,235,1967,11
00-01,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,PK,19,11,2,1,6,13,4,1,5,1,202,106,219,122,33,341,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,01,19,11,1,3,11,11,22,26,17,8,139,141,190,189,99,379,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,02,19,11,2,1,11,5,14,14,9,16,141,142,177,178,72,355,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,03,19,11,3,0,6,9,17,11,17,10,159,138,202,168,73,370,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,04,19,11,2,2,8,10,20,16,19,13,142,168,191,209,90,400,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,05,19,11,1,1,10,8,21,13,11,10,154,140,197,172,75,369,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,06,19,11,2,1,12,8,15,16,13,5,159,136,201,166,72,367,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,07,19,11,3,0,8,14,15,21,7,6,149,153,182,194,74,376,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,08,19,11,0,1,6,8,26,19,9,8,164,134,205,170,77,375,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,09,19,11,2,0,9,9,12,15,9,8,148,168,180,200,64,380,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,10,19,11,1,1,19,7,12,15,8,3,153,132,193,158,66,351,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,11,19,11,1,0,6,7,12,10,10,4,151,161,180,182,50,362,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,12,19,11,1,1,4,11,13,6,2,2,158,128,178,148,40,326,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,KG,19,11,1,1,10,2,16,11,12,4,137,142,176,160,57,336,11
00-01,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,PK,19,11,0,0,1,1,3,3,1,3,50,29,55,36,12,91,11
00-01,0199,01,INVER GROVE,01,19,11,0,1,2,1,10,7,8,11,119,125,139,145,40,284,11
00-01,0199,01,INVER GROVE,02,19,11,0,3,3,1,6,8,9,9,125,121,143,142,39,285,11
00-01,0199,01,INVER GROVE,03,19,11,2,1,4,4,9,6,6,9,138,115,159,135,41,294,11
00-01,0199,01,INVER GROVE,04,19,11,2,2,2,2,9,8,10,6,121,111,144,129,41,273,11
00-01,0199,01,INVER GROVE,05,19,11,0,0,5,5,5,10,9,12,150,113,169,140,46,309,11
