DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,02        ,1,2,3,1,41,30,13,15,71,78,129,126,106,255,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,03        ,3,1,4,7,30,28,13,17,74,79,124,132,103,256,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,04        ,0,2,1,4,32,21,16,10,93,77,142,114,86,256,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,05        ,0,1,3,2,45,25,10,8,81,64,139,100,94,239,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,06        ,1,2,0,0,26,20,12,11,93,65,132,98,72,230,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,07        ,6,0,2,1,26,23,13,13,70,77,117,114,84,231,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,08        ,1,0,4,5,21,15,9,8,94,72,129,100,63,229,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,09        ,0,2,1,2,28,21,11,11,78,88,118,124,76,242,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,10        ,0,3,4,3,21,30,17,7,84,89,126,132,85,258,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,11        ,0,2,1,1,18,18,6,12,75,79,100,112,58,212,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,12        ,2,0,2,3,20,20,10,12,118,113,152,148,69,300,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,19,19,27,35,381,315,162,149,1150,1064,1739,1582,1107,3321,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,EC        ,3,2,22,10,26,8,59,29,397,197,507,246,159,753,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,KG        ,15,14,64,76,55,51,121,102,1065,1006,1320,1249,498,2569,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,01        ,14,14,87,98,69,65,134,141,954,1052,1258,1370,622,2628,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,02        ,18,14,107,107,64,66,163,140,1078,993,1430,1320,679,2750,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,03        ,16,27,84,110,58,71,168,124,1055,1014,1381,1346,658,2727,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,04        ,16,18,91,95,51,49,131,148,1071,1001,1360,1311,599,2671,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,05        ,21,21,104,100,69,60,147,120,1128,1059,1469,1360,642,2829,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,06        ,29,18,85,94,58,49,151,156,1037,1091,1360,1408,640,2768,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,07        ,22,22,88,79,55,53,153,141,1214,1103,1532,1398,613,2930,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,08        ,27,28,92,79,55,53,174,165,1172,1113,1520,1438,673,2958,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,09        ,25,19,107,85,52,56,163,157,1244,1188,1591,1505,664,3096,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,10        ,18,20,102,98,64,59,143,163,1319,1195,1646,1535,667,3181,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,11        ,22,27,78,104,67,47,170,127,1341,1184,1678,1489,642,3167,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,12        ,26,23,133,98,64,54,191,173,1529,1368,1943,1716,762,3659,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,272,267,1244,1233,807,741,2068,1886,15604,14564,19995,18691,8518,38686,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,EC        ,1,0,1,1,4,4,0,0,50,27,56,32,11,88,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,KG        ,3,1,7,6,13,14,12,9,173,181,208,211,65,419,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,01        ,3,1,19,11,9,12,10,6,179,158,220,188,71,408,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,02        ,5,4,17,19,10,10,7,4,200,213,239,250,76,489,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,03        ,3,4,7,9,11,11,8,5,202,210,231,239,58,470,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,04        ,4,4,12,12,4,10,12,9,209,181,241,216,67,457,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,05        ,4,3,11,14,10,18,5,7,217,184,247,226,72,473,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,06        ,3,3,14,17,7,11,6,9,208,184,238,224,70,462,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,07        ,1,1,8,14,9,11,9,9,234,241,261,276,62,537,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,08        ,2,3,10,6,4,10,6,7,231,223,253,249,48,502,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,09        ,4,4,11,14,5,4,9,9,230,256,259,287,60,546,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,10        ,7,0,12,9,11,13,12,9,233,226,275,257,73,532,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,11        ,4,3,18,17,5,7,7,5,237,230,271,262,66,533,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,12        ,6,2,10,11,7,4,5,5,276,249,304,271,50,575,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,All Grades,50,33,157,160,109,139,108,93,2879,2763,3303,3188,849,6491,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,EC        ,2,0,0,2,12,2,16,3,20,7,50,14,37,64,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,KG        ,7,7,6,8,30,40,39,49,41,45,123,149,186,272,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,01        ,3,8,9,8,39,27,36,50,40,36,127,129,180,256,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,02        ,5,3,6,4,41,34,36,52,43,32,131,125,181,256,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,03        ,2,6,9,7,32,32,51,34,24,27,118,106,173,224,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,04        ,3,4,6,7,29,26,34,42,33,29,105,108,151,213,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,05        ,3,3,6,8,35,34,36,36,34,36,114,117,161,231,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,06        ,5,2,3,5,32,25,33,43,27,17,100,92,148,192,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,07        ,3,3,4,5,29,23,32,40,40,25,108,96,139,204,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,08        ,2,3,6,7,22,22,32,39,27,41,89,112,133,201,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,09        ,4,6,6,7,27,26,49,52,22,29,108,120,177,228,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,10        ,9,1,5,5,28,28,35,42,30,35,107,111,153,218,District,EC-12,  , ,  
11-12,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,11        ,6,2,3,2,22,20,48,39,44,28,123,91,142,214,District,EC-12,  , ,  
