DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,01,434,72,20,6,6,54,434,72,20,6,6,54,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,02,419,53,22,8,8,50,419,53,22,8,8,50,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,03,494,74,19,14,14,57,494,74,19,14,14,57,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,04,478,70,18,12,12,73,478,70,18,12,12,73,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,05,477,69,31,12,11,89,477,69,31,12,11,89,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,06,484,79,20,6,5,88,484,79,20,6,5,88,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,07,476,81,29,7,7,76,476,81,29,7,7,76,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,08,546,63,14,5,5,84,546,63,14,5,5,84,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,09,509,77,27,2,2,89,509,77,27,2,2,89,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,10,556,79,17,4,4,101,556,79,17,4,4,101,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,11,549,96,32,6,6,86,549,96,32,6,6,86,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,12,591,91,13,1,1,121,591,91,13,1,1,121,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,All Grades,6463,981,279,96,94,1008,6548,1003,280,96,94,1093,, ,EC-12,
