DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,grade,K12Enr,FreeK12,RedK12,LEPK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEP-EC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,05,172,68,24,21,24,172,68,24,21,24,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,06,188,83,20,24,29,188,83,20,24,29,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,07,203,84,28,27,26,203,84,28,27,26,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,08,203,84,24,20,32,203,84,24,20,32,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,09,265,107,20,34,41,265,107,20,34,41,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,10,261,98,23,12,43,261,98,23,12,43,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,11,224,67,21,10,29,224,67,21,10,29,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,12,217,62,15,7,30,217,62,15,7,30,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,All Grades,2693,1064,308,346,370,2727,1064,308,346,404,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,EC,,,,,,98,,,,98,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,KG,391,62,24,20,41,391,62,24,20,41,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,01,422,67,38,16,41,422,67,38,16,41,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,02,388,69,33,20,28,388,69,33,20,28,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,03,394,78,41,21,35,394,78,41,21,35,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,04,434,72,25,19,37,434,72,25,19,37,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,05,411,57,38,14,45,411,57,38,14,45,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,06,434,66,32,11,32,434,66,32,11,32,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,07,456,79,36,22,57,456,79,36,22,57,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,08,454,74,42,8,45,454,74,42,8,45,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,09,479,76,43,12,51,479,76,43,12,51,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,10,455,78,33,12,49,455,78,33,12,49,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,11,505,83,31,5,45,505,83,31,5,45,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,12,366,45,24,4,40,366,45,24,4,40,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,All Grades,5589,906,440,184,546,5687,906,440,184,644,, ,
08-09,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,EC,,,,,,80,10,,1,80,, ,
08-09,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,KG,363,68,19,47,24,363,68,19,47,24,, ,
08-09,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,01,352,77,33,60,25,352,77,33,60,25,, ,
08-09,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,02,358,96,23,50,41,358,96,23,50,41,, ,
08-09,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,03,375,89,32,40,40,375,89,32,40,40,, ,
08-09,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,04,327,79,22,37,43,327,79,22,37,43,, ,
08-09,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,05,335,78,32,37,56,335,78,32,37,56,, ,
