DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,All Grades,52,53,156,167,77,83,83,97,3102,2955,3470,3355,768,6825,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,EC,0,0,2,0,13,4,6,4,19,12,40,20,29,60,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,KG,3,5,9,7,29,32,43,31,34,28,118,103,159,221,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,01,3,4,5,5,35,27,35,41,44,33,122,110,155,232,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,02,3,2,5,10,35,32,45,39,40,34,128,117,171,245,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,03,2,3,4,5,35,25,44,31,32,28,117,92,149,209,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,04,2,2,4,6,35,24,44,37,40,34,125,103,154,228,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,05,3,4,6,7,22,22,27,40,32,45,90,118,131,208,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,06,2,8,3,8,26,27,29,24,29,29,89,96,127,185,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,07,6,3,4,5,18,26,30,35,26,34,84,103,127,187,, ,
