dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
99-00,0025,01,PINE POINT,08,03,04,0,1,0,0,0,0,0,0,0,0,0,1,1,1,04
99-00,0025,01,PINE POINT,KG,03,04,6,2,0,0,0,0,0,0,0,0,6,2,8,8,04
99-00,0031,01,BEMIDJI,01,04,01,39,30,2,0,1,2,3,0,151,122,196,154,77,350,02
99-00,0031,01,BEMIDJI,02,04,01,38,31,1,2,3,4,3,0,139,141,184,178,82,362,02
99-00,0031,01,BEMIDJI,03,04,01,45,33,0,1,1,1,0,1,166,159,212,195,82,407,02
99-00,0031,01,BEMIDJI,04,04,01,32,36,1,1,4,1,2,5,187,152,226,195,82,421,02
99-00,0031,01,BEMIDJI,05,04,01,31,44,1,0,2,3,2,1,174,157,210,205,84,415,02
99-00,0031,01,BEMIDJI,06,04,01,55,30,1,3,0,1,1,4,196,147,253,185,95,438,02
99-00,0031,01,BEMIDJI,07,04,01,48,31,1,2,1,0,1,2,174,153,225,188,86,413,02
99-00,0031,01,BEMIDJI,08,04,01,46,43,1,0,1,0,2,2,200,182,250,227,95,477,02
99-00,0031,01,BEMIDJI,09,04,01,39,50,2,3,3,1,3,2,209,196,256,252,103,508,02
99-00,0031,01,BEMIDJI,10,04,01,39,29,2,3,3,1,2,3,218,187,264,223,82,487,02
99-00,0031,01,BEMIDJI,11,04,01,32,32,3,3,0,1,1,3,197,185,233,224,75,457,02
99-00,0031,01,BEMIDJI,12,04,01,20,28,0,5,3,2,1,1,191,219,215,255,60,470,02
99-00,0031,01,BEMIDJI,KG,04,01,26,25,2,2,1,1,5,0,153,136,187,164,62,351,02
99-00,0031,01,BEMIDJI,PK,04,01,5,2,0,0,0,0,0,0,27,13,32,15,7,47,02
99-00,0032,01,BLACKDUCK,01,04,01,6,3,0,0,0,1,0,0,19,25,25,29,10,54,02
99-00,0032,01,BLACKDUCK,02,04,01,8,1,0,0,2,0,0,0,25,19,35,20,11,55,02
99-00,0032,01,BLACKDUCK,03,04,01,2,7,0,0,1,0,1,1,28,29,32,37,12,69,02
99-00,0032,01,BLACKDUCK,04,04,01,1,2,0,0,0,0,0,0,31,33,32,35,3,67,02
99-00,0032,01,BLACKDUCK,05,04,01,3,5,0,0,1,0,0,1,25,29,29,35,10,64,02
99-00,0032,01,BLACKDUCK,06,04,01,5,3,0,0,0,0,0,0,28,36,33,39,8,72,02
99-00,0032,01,BLACKDUCK,07,04,01,5,4,0,0,0,0,0,0,29,34,34,38,9,72,02
99-00,0032,01,BLACKDUCK,08,04,01,3,6,0,0,0,0,0,0,41,35,44,41,9,85,02
99-00,0032,01,BLACKDUCK,09,04,01,3,3,0,1,0,0,0,0,29,32,32,36,7,68,02
99-00,0032,01,BLACKDUCK,10,04,01,5,2,0,0,1,2,0,0,42,27,48,31,10,79,02
99-00,0032,01,BLACKDUCK,11,04,01,2,4,1,0,2,1,0,0,36,36,41,41,10,82,02
99-00,0032,01,BLACKDUCK,12,04,01,3,1,1,0,0,2,0,0,35,32,39,35,7,74,02
