districtNumber,districtType,districtName,year,totalStudents,totalTeachers,studentTeacherRatio
4053,07,NORTH LAKES ACADEMY,2018,810,59.54,13.604299630500504
4054,07,LA CRESCENT MONTESSORI & STEM SCHOO,2018,112,15.54,7.207207207207207
4055,07,NERSTRAND CHARTER SCHOOL,2018,298,15,19.866666666666667
4056,07,ROSA PARKS CHARTER HIGH SCHOOL,2018,144,7.64,18.848167539267017
4057,07,EL COLEGIO CHARTER SCHOOL,2018,184,14,13.142857142857142
4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHTR,2018,384,36.7,10.463215258855586
4059,07,CROSSLAKE COMMUNITY CHARTER SCHOOL,2018,416,36.38,11.434854315557999
4064,07,RIVERWAY LEARNING COMMUNITY CHTR,2018,224,15.02,14.913448735019974
4066,07,KATO PUBLIC CHARTER SCHOOL,2018,142,18.64,7.618025751072961
4067,07,AURORA CHARTER SCHOOL,2018,846,63.14,13.398796325625593
4068,07,EXCELL ACADEMY CHARTER,2018,908,76.18,11.919138881596218
4070,07,HOPE COMMUNITY ACADEMY,2018,1072,73.88,14.510016242555496
4073,07,ACADEMIA CESAR CHAVEZ CHARTER SCH.,2018,1018,70,14.542857142857143
4074,07,AFSA HIGH SCHOOL,2018,696,58.7,11.856899488926745
4075,07,AVALON SCHOOL,2018,480,42.22,11.369019422074846
4077,07,TWIN CITIES INTERNATIONAL ELEM SCH,2018,1162,80,14.525
4078,07,MINNESOTA INTERNATIONAL MIDDLE CHTR,2018,862,54,15.962962962962964
4079,07,FRIENDSHIP ACDMY OF FINE ARTS CHTR.,2018,304,16,19
4080,07,PILLAGER AREA CHARTER SCHOOL,2018,72,10.4,6.9230769230769225
4081,07,DISCOVERY PUBLIC SCHOOL FARIBAULT,2018,118,13.2,8.93939393939394
4082,07,BLUESKY CHARTER SCHOOL,2018,906,72.98,12.414360098657166
4083,07,RIDGEWAY COMMUNITY SCHOOL,2018,190,19.44,9.773662551440328
4084,07,NORTH SHORE COMMUNITY SCHOOL,2018,726,42.36,17.138810198300284
4085,07,HARBOR CITY INTERNATIONAL CHARTER,2018,462,42.38,10.901368570080226
4087,07,SAGE ACADEMY CHARTER SCHOOL,2018,144,12.42,11.594202898550725
4088,07,URBAN ACADEMY CHARTER SCHOOL,2018,660,44,15
4089,07,NEW CITY SCHOOL,2018,548,39.62,13.831398283695105
4090,07,PRAIRIE CREEK COMMUNITY SCHOOL,2018,360,27.7,12.99638989169675
4091,07,ARCADIA CHARTER SCHOOL,2018,234,32.5,7.2
4092,07,WATERSHED HIGH SCHOOL,2018,108,12,9
4093,07,NEW CENTURY ACADEMY,2018,278,24.2,11.487603305785123
4095,07,TRIO WOLF CREEK DISTANCE LEARNING,2018,250,20.48,12.20703125
4097,07,"PARTNERSHIP ACADEMY, INC.",2018,546,46,11.869565217391305
4098,07,NOVA CLASSICAL ACADEMY,2018,1964,100.46,19.55006967947442
4100,07,GREAT EXPECTATIONS,2018,210,21.02,9.990485252140818
4102,07,MINNESOTA INTERNSHIP CENTER,2018,998,38.06,26.221755123489228
4103,07,HMONG COLLEGE PREP ACADEMY,2018,3598,256.62,14.020731042007638
4104,07,PALADIN CAREER AND TECH HIGH SCHOOL,2018,404,37,10.91891891891892
4105,07,GREAT RIVER SCHOOL,2018,1028,74.64,13.772775991425508
4106,07,TREKNORTH HIGH SCHOOL,2018,502,31.44,15.966921119592875
4107,07,VOYAGEURS EXPEDITIONARY,2018,212,24.08,8.803986710963455
4110,07,PIM ARTS HIGH SCHOOL,2018,578,51.72,11.17556071152359
4111,07,AUGSBURG FAIRVIEW ACADEMY,2018,166,16.98,9.77620730270907
4112,07,ST PAUL CONSERVATORY PERFORMING ART,2018,1002,64.2,15.607476635514018
4113,07,SPERO ACADEMY,2018,216,37.06,5.828386400431732
4116,07,LAKES INTERNATIONAL LANGUAGE ACADEM,2018,2136,138.08,15.469293163383544
4118,07,KALEIDOSCOPE CHARTER SCHOOL,2018,1066,94.68,11.258977608787493
4119,07,ACADEMIC ARTS HIGH SCHOOL,2018,196,15.04,13.031914893617023
4120,07,ST. CROIX PREPARATORY ACADEMY,2018,2312,140.88,16.41113003975014
4121,07,UBAH MEDICAL ACADEMY CHARTER SCHOOL,2018,598,36.6,16.33879781420765
4122,07,EAGLE RIDGE ACADEMY CHARTER SCHOOL,2018,2762,178.3,15.490745933819404
4124,07,BEACON ACADEMY,2018,1070,82.94,12.90089221123704
4126,07,PRAIRIE SEEDS ACADEMY,2018,1538,86,17.88372093023256
4127,07,TEAM ACADEMY,2018,256,24.8,10.32258064516129
4131,07,METRO SCHOOLS CHARTER,2018,776,49.86,15.563578018451665
4132,07,TWIN CITIES ACADEMY,2018,1248,79.36,15.725806451612904
4135,07,ROCHESTER MATH AND SCIENCE ACADEMY,2018,654,30,21.8
4137,07,SWAN RIVER MONTESSORI CHARTER SCH,2018,308,22.54,13.664596273291925
4138,07,MILROY AREA CHARTER SCHOOL,2018,68,8.52,7.981220657276996
4139,07,LOVEWORKS ACADEMY FOR ARTS,2018,366,24,15.25
4140,07,YINGHUA ACADEMY,2018,1632,97.98,16.656460502143293
4142,07,STRIDE ACADEMY CHARTER SCHOOL,2018,608,55.86,10.884353741496598
4143,07,NEW MILLENNIUM ACADEMY CHARTER SCH,2018,1466,88.02,16.655305612360827
4144,07,GREEN ISLE COMMUNITY SCHOOL,2018,122,6.94,17.579250720461093
4145,07,BIRCH GROVE COMMUNITY SCHOOL,2018,52,6.16,8.441558441558442
4146,07,NORTHERN LIGHTS COMMUNITY SCHOOL,2018,206,21.96,9.380692167577413
4150,07,MINNESOTA ONLINE HIGH SCHOOL,2018,324,30.48,10.62992125984252
4151,07,EDVISIONS OFF CAMPUS SCHOOL,2018,224,21.12,10.606060606060606
4152,07,TWIN CITIES GERMAN IMMERSION CHTR,2018,1118,70.8,15.790960451977401
4153,07,DUGSI ACADEMY,2018,518,60.98,8.494588389635947
4155,07,NAYTAHWAUSH COMMUNITY SCHOOL,2018,226,28,8.071428571428571
4159,07,SEVEN HILLS PREPARATORY ACADEMY,2018,1774,121.1,14.649050371593725
4160,07,SPECTRUM HIGH SCHOOL,2018,1380,74.66,18.483793195821058
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2018,392,30.56,12.827225130890053
4162,07,SOUTHSIDE FAMILY CHARTER SCHOOL,2018,234,21.76,10.753676470588234
4163,07,LEARNING FOR LEADERSHIP CHARTER,2018,454,48,9.458333333333334
4164,07,LAURA JEFFREY ACADEMY CHARTER,2018,196,16.2,12.098765432098766
4166,07,EAST RANGE ACADEMY OF TECH-SCIENCE,2018,286,27.32,10.468521229868228
4167,07,INTERNATIONAL SPANISH LANGUAGE ACAD,2018,658,34.28,19.194865810968494
4168,07,GLACIAL HILLS ELEMENTARY,2018,204,21.5,9.488372093023257
4169,07,STONEBRIDGE WORLD SCHOOL,2018,504,43.2,11.666666666666666
4170,07,HIAWATHA ACADEMIES,2018,2734,221.2,12.35985533453888
4171,07,NOBLE ACADEMY,2018,1846,88.68,20.816418583671627
4172,07,CLARKFIELD CHARTER SCHOOL,2018,112,12.38,9.046849757673666
4177,07,MINISINAAKWAANG LEADERSHIP ACADEMY,2018,44,7.68,5.729166666666667
4178,07,LINCOLN INTERNATIONAL SCHOOL,2018,264,28.8,9.166666666666666
4181,07,COMMUNITY SCHOOL OF EXCELLENCE,2018,2204,124.88,17.648942985265855
4183,07,LIONSGATE ACADEMY,2018,386,99.96,3.861544617847139
4184,07,ASPEN ACADEMY,2018,1028,70.18,14.648047876888
4185,07,DAVINCI ACADEMY,2018,1440,105.02,13.711673966863454
