districtNumber,districtType,districtName,year,change
0833,01,South Washington County School Dist,2017,0.0159057281758613
0834,01,Stillwater Area Public School Dist.,2017,0.0103031738512553
0836,01,Butterfield Public School District,2017,-0.0588235294117647
0837,01,Madelia Public School District,2017,0.0887772194304858
0840,01,St. James Public School District,2017,0.0150234741784038
0846,01,Breckenridge Public School District,2017,-0.0293663060278207
0850,01,Rothsay Public School District,2017,0.0228013029315961
0852,01,Campbell-Tintah Public School Dist.,2017,0.0987654320987654
0857,01,Lewiston-Altura Public School Dist.,2017,-0.0204638472032742
0858,01,St. Charles Public School District,2017,-0.0167364016736402
0861,01,Winona Area Public School District,2017,-0.0087378640776699
0876,01,Annandale Public School District,2017,0.0279978869519282
0877,01,Buffalo-Hanover-Montrose Public Sch,2017,-0.00429479470881292
0879,01,Delano Public School District,2017,-0.00158667195557319
0881,01,Maple Lake Public School District,2017,-0.012987012987013
0882,01,Monticello Public School District,2017,0.0177543186180422
0883,01,Rockford Public School District,2017,0.000580046403712297
0885,01,St. Michael-Albertville School Dist,2017,0.00773480662983425
0891,01,Canby Public School District,2017,0.0614035087719298
0911,01,Cambridge-Isanti Public School Dist,2017,-0.0168168168168168
0912,01,Milaca Public School District,2017,-0.0109289617486339
0914,01,Ulen-Hitterdal Public School Dist,2017,0.00977198697068404
0915,52,Southern Plains Education Coop.,2017,0.265734265734266
0916,06,Northeast Metro 916,2017,0.0578703703703704
0917,06,Intermediate School District 917,2017,0.0284090909090909
0926,83,Region 4-Lakes Country Service Coop,2017,0.0666666666666667
0935,52,Fergus Falls Area Sp. Ed. Coop.,2017,0.105882352941176
0938,52,Meeker And Wright Special Education,2017,-0.0048780487804878
0966,51,Wright Technical Center,2017,-0.0638297872340425
0991,83,Region 6 And 8-Sw/Wc Service Coop,2017,0.152380952380952
0998,52,Bemidji Regional Interdist. Council,2017,-0.217391304347826
1000,70,Perpich Center For Arts Education,2017,-0.125786163522013
1100,60,Minnesota Department Of Corrections,2017,-0.475728155339806
2071,01,Lake Crystal-Wellcome Memorial,2017,0.036144578313253
2125,01,Triton School District,2017,-0.026857654431513
2134,01,United South Central School Dist.,2017,-0.0127298444130127
2135,01,Maple River School District,2017,-0.0280474649406688
2137,01,Kingsland Public School District,2017,-0.0341113105924596
2142,01,St. Louis County School District,2017,0.0149476831091181
2143,01,Waterville-Elysian-Morristown,2017,-0.0273081924577373
2144,01,Chisago Lakes School District,2017,0.0159374094465372
2149,01,Minnewaska School District,2017,0
2154,01,Eveleth-Gilbert School District,2017,-0.0572033898305085
2155,01,Wadena-Deer Creek School District,2017,0.0547024952015355
2159,01,Buffalo Lk-Hector-Stewart Public Sc,2017,-0.0266666666666667
2164,01,Dilworth-Glyndon-Felton,2017,-0.0066747572815534
2165,01,Hinckley-Finlayson School District,2017,0.0401606425702811
2167,01,Lakeview School District,2017,0.0194029850746269
2168,01,Nrheg School District,2017,-0.0381165919282511
2169,01,Murray County Central School Dist.,2017,0.0108254397834912
2170,01,Staples-Motley School District,2017,-0.0384271671134942
2171,01,Kittson Central School District,2017,-0.0452674897119342
2172,01,Kenyon-Wanamingo School District,2017,-0.0463659147869674
2174,01,Pine River-Backus School District,2017,-0.00209205020920502
2176,01,Warren-Alvarado-Oslo School Dist.,2017,0.0405679513184584
2180,01,Maccray School District,2017,0.0292887029288703
2184,01,Luverne Public School District,2017,-0.00948616600790514
2190,01,Yellow Medicine East,2017,-0.021978021978022
2198,01,Fillmore Central,2017,0.0140405616224649
2215,01,Norman County East School District,2017,0.00684931506849315
2310,01,Sibley East School District,2017,0.0117154811715481
2311,01,Clearbrook-Gonvick School District,2017,0.0111111111111111
2342,01,West Central Area,2017,0.0648148148148148
2358,01,Tri-County School District,2017,-0.0202020202020202
2364,01,Belgrade-Brooten-Elrosa School Dist,2017,0.0258358662613982
2365,01,G.f.w.,2017,-0.0394922425952045
2396,01,A.c.g.c. Public School District,2017,0.0228365384615385
2397,01,Le Sueur-Henderson School District,2017,0
2448,01,Martin County West School District,2017,-0.0248275862068966
2527,01,Norman County West School District,2017,-0.272300469483568
