DistrictNumber,districtType,districtName,year,percentMinority
4187,07,NATURAL SCIENCE ACADEMY,2000,NA
4155,07,NAYTAHWAUSH COMMUNITY SCHOOL,2000,NA
4055,07,NERSTRAND CHARTER SCHOOL,2000,0.0202702702702703
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2000,0.982142857142857
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2000,0.0616197183098592
4093,07,NEW CENTURY ACADEMY,2000,NA
4240,07,New Century School,2000,NA
4089,07,NEW CITY SCHOOL,2000,NA
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2000,NA
4003,07,"NEW HEIGHTS SCHOOL, INC.",2000,0.0263157894736842
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2000,0.0164203612479475
4143,07,NEW MILLENNIUM ACADEMY CHARTER SCH,2000,NA
0721,01,NEW PRAGUE AREA SCHOOLS,2000,0.0175718849840256
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2000,0.0244821092278719
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2000,0.00518134715025907
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2000,0
4171,07,NOBLE ACADEMY,2000,NA
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2000,0.0835322195704057
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2000,0.127058823529412
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2000,0.0299350465970065
4053,07,NORTH LAKES ACADEMY,2000,0
4243,07,North Metro Flex Academy,2000,NA
4084,07,NORTH SHORE COMMUNITY SCHOOL,2000,NA
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2000,0.119519832985386
4219,07,NORTHEAST COLLEGE PREP,2000,NA
0916,06,NORTHEAST METRO 916,2000,0.0878243512974052
6096,52,Northern Lights Academy Cooperative,2000,NA
4146,07,NORTHERN LIGHTS COMMUNITY SCHOOL,2000,NA
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2000,0.0601915184678523
0118,01,NORTHLAND COMMUNITY SCHOOLS,2000,0.214849921011058
6076,50,NORTHLAND LEARNING CENTER,2000,NA
4049,07,NORTHWEST PASSAGE HIGH SCHOOL,2000,0.0476190476190476
4098,07,NOVA CLASSICAL ACADEMY,2000,NA
2168,01,NRHEG SCHOOL DISTRICT,2000,0.0160075329566855
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2000,0.0299089726918075
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2000,0.164648910411622
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2000,0.0412611911249513
