DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
02-03,27,Hennepin                                     ,4017,07,MINNESOTA TRANSITIONS CHARTER SCH  ,000, ,11,11 ,All Grades,13,24,14,11,16,13,169,131,106,93,318,272,391,590,  , ,  
02-03,27,Hennepin                                     ,4030,07,ODYSSEY CHARTER SCHOOL             ,000, ,11,11 ,All Grades,0,1,20,9,4,4,31,26,85,59,140,99,95,239,  , ,  
02-03,27,Hennepin                                     ,4032,07,HARVEST PREP SCHOOL/SEED ACADEMY   ,000, ,11,11 ,All Grades,0,0,0,0,0,0,182,208,0,0,182,208,390,390,  , ,  
02-03,27,Hennepin                                     ,4038,07,SOJOURNER TRUTH ACADEMY            ,000, ,11,11 ,All Grades,1,1,0,2,15,17,86,96,7,7,109,123,218,232,  , ,  
02-03,27,Hennepin                                     ,4044,07,HEART OF THE EARTH CHARTER         ,000, ,11,11 ,All Grades,117,140,0,0,0,2,2,0,0,4,119,146,261,265,  , ,  
02-03,27,Hennepin                                     ,4052,07,FOUR DIRECTIONS CHARTER SCHOOLS    ,000, ,11,11 ,All Grades,33,30,1,2,2,1,0,2,2,2,38,37,71,75,  , ,  
02-03,27,Hennepin                                     ,4057,07,EL COLEGIO CHARTER SCHOOL          ,000, ,11,11 ,All Grades,0,3,1,2,31,22,3,4,6,10,41,41,66,82,  , ,  
02-03,27,Hennepin                                     ,4067,07,AURORA CHARTER SCHOOL              ,000, ,11,11 ,All Grades,0,0,0,0,54,56,0,1,1,0,55,57,111,112,  , ,  
02-03,27,Hennepin                                     ,4068,07,EXCELL ACADEMY CHARTER             ,000, ,11,11 ,All Grades,3,0,0,0,0,0,39,57,0,0,42,57,99,99,  , ,  
02-03,27,Hennepin                                     ,4071,07,NATIVE ARTS CHARTER SCHOOL         ,000, ,11,11 ,All Grades,5,10,0,0,0,0,0,0,1,0,6,10,15,16,  , ,  
02-03,27,Hennepin                                     ,4077,07,TWIN CITIES INTERNATIONAL ELEM SCH.,000, ,11,11 ,All Grades,0,0,0,0,0,0,83,69,1,0,84,69,152,153,  , ,  
02-03,27,Hennepin                                     ,4079,07,FRIENDSHIP ACDMY OF FINE ARTS CHTR.,000, ,11,11 ,All Grades,0,0,2,0,0,1,27,34,0,0,29,35,64,64,  , ,  
02-03,27,Hennepin                                     ,4086,07,WOODSON INSTITUTE FOR EXCELLENCE CH,000, ,11,11 ,All Grades,0,0,0,0,0,0,65,42,0,0,65,42,107,107,  , ,  
