Area,Family Size,Number of Adults,Number of Workers,Number of Children,Age of Adults,Yearly Cost,Hourly Wage,Child Care,Food,Health Care,Housing,Transport,Other,Taxes
Beltrami County                 ,3,2,2,1,19-50,51351,12.34,489,750,417,748,847,438,590
Beltrami County                 ,3,1,1,2,19-50,57949,27.86,771,740,411,948,847,493,619
Benton County                   ,2,2,1.5,0,51+,36422,11.67,0,566,356,613,735,345,420
Benton County                   ,1,1,1,0,19-50,28299,13.61,0,322,134,598,691,269,344
Benton County                   ,4,2,1.5,2,19-50,59870,19.19,405,958,426,1041,919,584,656
Benton County                   ,1,1,1,0,51+,28662,13.78,0,309,174,598,691,265,352
Benton County                   ,2,2,2,0,51+,36422,8.76,0,566,356,613,735,345,420
Benton County                   ,2,2,2,0,19-50,35646,8.57,0,590,276,613,735,352,405
Benton County                   ,3,1,1,2,19-50,60306,28.99,810,724,411,1041,862,516,661
Benton County                   ,6,2,1,4,19-50,58995,28.36,0,1413,443,1041,1015,717,287
Benton County                   ,3,2,1.5,1,19-50,47543,15.24,259,734,417,759,862,436,495
Benton County                   ,5,2,1.5,3,19-50,63251,20.27,405,1159,435,1041,977,643,611
Benton County                   ,6,2,2,4,19-50,73849,17.75,810,1413,443,1041,1015,717,715
Benton County                   ,2,1,1,1,19-50,42505,20.44,517,474,269,759,735,360,428
Benton County                   ,2,2,1,0,19-50,34829,16.74,0,590,276,613,735,352,336
Benton County                   ,5,2,1,3,19-50,54727,26.31,0,1159,435,1041,977,643,306
Benton County                   ,2,2,1.5,0,19-50,35646,11.43,0,590,276,613,735,352,405
Benton County                   ,4,2,2,2,19-50,66274,15.93,810,958,426,1041,919,584,785
Benton County                   ,2,2,1,0,51+,35571,17.1,0,566,356,613,735,345,349
Anoka County                    ,4,2,2,2,19-50,101956,24.51,2090,981,494,1576,1032,748,1575
Anoka County                    ,2,2,2,0,19-50,42679,10.26,0,604,290,884,817,435,527
Anoka County                    ,5,2,1,3,19-50,69238,33.29,0,1188,503,1576,1099,808,596
Anoka County                    ,2,2,1,0,51+,42370,20.37,0,580,371,884,817,428,451
Anoka County                    ,3,2,1,1,19-50,52530,25.25,0,753,486,1113,965,545,515
Anoka County                    ,6,2,1.5,4,19-50,92918,29.78,1045,1448,512,1576,1143,884,1135
Anoka County                    ,5,1,1,4,19-50,105083,50.52,2090,1187,496,1576,1099,808,1501
Anoka County                    ,2,2,2,0,51+,43470,10.45,0,580,371,884,817,428,542
Anoka County                    ,3,2,2,1,19-50,76514,18.39,1391,753,486,1113,965,545,1123
Anoka County                    ,6,2,2,4,19-50,110536,26.57,2090,1448,512,1576,1143,884,1558
Anoka County                    ,5,2,2,3,19-50,105847,25.44,2090,1188,503,1576,1099,808,1557
Anoka County                    ,1,1,1,0,51+,35133,16.89,0,316,177,862,767,344,462
Anoka County                    ,2,2,1.5,0,19-50,42679,13.68,0,604,290,884,817,435,527
Anoka County                    ,3,2,1.5,1,19-50,65315,20.93,696,753,486,1113,965,545,885
Anoka County                    ,2,2,1,0,19-50,41597,20,0,604,290,884,817,435,436
Anoka County                    ,4,1,1,3,19-50,101159,48.63,2090,976,488,1576,1032,746,1522
Anoka County                    ,6,2,1,4,19-50,73499,35.34,0,1448,512,1576,1143,884,562
Anoka County                    ,3,1,1,2,19-50,96742,46.51,2090,742,479,1576,965,678,1532
Anoka County                    ,4,2,1,2,19-50,65762,31.62,0,981,494,1576,1032,748,649
Anoka County                    ,2,1,1,1,19-50,65396,31.44,1391,486,284,1113,817,467,892
Anoka County                    ,1,1,1,0,19-50,34786,16.72,0,330,137,862,767,348,455
Anoka County                    ,2,2,1.5,0,51+,43470,13.93,0,580,371,884,817,428,542
Anoka County                    ,5,2,1.5,3,19-50,88543,28.38,1045,1188,503,1576,1099,808,1160
Anoka County                    ,4,2,1.5,2,19-50,84911,27.22,1045,981,494,1576,1032,748,1200
Brown County                    ,6,2,2,4,19-50,66336,15.95,712,1454,443,873,804,680,562
Brown County                    ,5,2,2,3,19-50,62186,14.95,712,1193,435,873,776,604,589
Brown County                    ,6,2,1,4,19-50,53091,25.52,0,1454,443,873,804,680,170
Brown County                    ,2,1,1,1,19-50,38356,18.44,467,488,269,698,599,347,328
Brown County                    ,4,2,1,2,19-50,44843,21.56,0,985,426,873,734,543,176
Brown County                    ,2,2,1.5,0,51+,33098,10.61,0,582,356,535,599,327,359
Brown County                    ,2,2,1,0,19-50,31636,15.21,0,607,276,535,599,334,285
Brown County                    ,5,2,1,3,19-50,48436,23.29,0,1193,435,873,776,604,155
Brown County                    ,3,2,2,1,19-50,47369,11.39,467,756,417,698,692,425,492
Brown County                    ,1,1,1,0,19-50,25072,12.05,0,331,134,523,567,250,284
Brown County                    ,2,2,1,0,51+,32388,15.57,0,582,356,535,599,327,300
Brown County                    ,4,2,2,2,19-50,58819,14.14,712,985,426,873,734,543,629
Brown County                    ,2,2,2,0,51+,33098,7.96,0,582,356,535,599,327,359
Brown County                    ,4,1,1,3,19-50,56907,27.36,712,980,419,873,734,542,482
Brown County                    ,4,2,1.5,2,19-50,52587,16.85,356,985,426,873,734,543,465
Brown County                    ,3,2,1.5,1,19-50,43375,13.9,233,756,417,698,692,425,394
Brown County                    ,5,2,1.5,3,19-50,56089,17.98,356,1193,435,873,776,604,437
Carver County                   ,2,2,1,0,19-50,41164,19.79,0,614,290,884,776,438,428
Carver County                   ,4,2,1.5,2,19-50,83600,26.79,1000,996,494,1576,976,752,1173
Carver County                   ,6,2,1.5,4,19-50,91516,29.33,1000,1470,512,1576,1079,890,1099
Carver County                   ,2,2,1,0,51+,41906,20.15,0,589,371,884,776,430,442
Carver County                   ,5,2,1.5,3,19-50,87111,27.92,1000,1206,503,1576,1038,813,1123
Carver County                   ,3,2,1,1,19-50,51963,24.98,0,764,486,1113,914,549,504
Carver County                   ,1,1,1,0,51+,34644,16.66,0,321,177,862,729,346,452
Carver County                   ,6,2,2,4,19-50,108367,26.05,2000,1470,512,1576,1079,890,1504
Carver County                   ,5,1,1,4,19-50,102818,49.43,2000,1205,496,1576,1038,813,1440
Carver County                   ,5,2,2,3,19-50,103644,24.91,2000,1206,503,1576,1038,813,1501
Carver County                   ,6,2,1,4,19-50,72930,35.06,0,1470,512,1576,1079,890,551
Carver County                   ,2,2,2,0,51+,42995,10.34,0,589,371,884,776,430,533
Carver County                   ,3,1,1,2,19-50,94503,45.43,2000,753,479,1576,914,681,1472
Carver County                   ,2,2,1.5,0,51+,42995,13.78,0,589,371,884,776,430,533
Carver County                   ,4,1,1,3,19-50,98921,47.56,2000,991,488,1576,976,750,1462
