countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,hourlyWage
Chippewa,23,2,2,1.5,0,51+,2018,11.15
Chippewa,23,3,1,1,2,19-50,2018,25.44
Chippewa,23,1,1,1,0,19-50,2018,12.35
Chippewa,23,6,2,1,4,19-50,2018,26.58
Chippewa,23,5,2,2,3,19-50,2018,15.12
Chippewa,23,3,2,1,1,19-50,2018,18.74
Chippewa,23,5,1,1,4,19-50,2018,28.64
Chippewa,23,4,1,1,3,19-50,2018,27.21
Chippewa,23,1,1,1,0,51+,2018,12.46
Chippewa,23,4,2,2,2,19-50,2018,14.4
Chippewa,23,2,1,1,1,19-50,2018,18.03
Chippewa,23,3,2,1.5,1,19-50,2018,13.8
Chippewa,23,6,2,2,4,19-50,2018,16.13
Cook,31,3,2,2,1,19-50,2018,12.77
Cook,31,1,1,1,0,51+,2018,13.45
Cook,31,4,1,1,3,19-50,2018,30.32
Cook,31,5,1,1,4,19-50,2018,31.67
Cook,31,3,2,1,1,19-50,2018,19.49
Cook,31,2,1,1,1,19-50,2018,21.06
Cook,31,2,2,2,0,19-50,2018,8.76
Cook,31,2,2,2,0,51+,2018,8.89
Cook,31,6,2,1,4,19-50,2018,26.49
Cook,31,1,1,1,0,19-50,2018,13.33
Crow Wing,35,2,2,1.5,0,19-50,2018,11.93
Crow Wing,35,6,2,2,4,19-50,2018,18.41
Crow Wing,35,5,2,1.5,3,19-50,2018,20.39
Crow Wing,35,5,2,1,3,19-50,2018,26.19
Crow Wing,35,4,2,1.5,2,19-50,2018,19.46
Crow Wing,35,5,1,1,4,19-50,2018,33.04
Crow Wing,35,1,1,1,0,19-50,2018,13.7
Goodhue,49,1,1,1,0,19-50,2018,14.26
Goodhue,49,2,2,1.5,0,51+,2018,12.44
Goodhue,49,3,2,2,1,19-50,2018,13.87
Goodhue,49,2,1,1,1,19-50,2018,22.89
Goodhue,49,5,1,1,4,19-50,2018,34.42
Goodhue,49,4,2,1.5,2,19-50,2018,20.13
Goodhue,49,3,1,1,2,19-50,2018,31.11
Goodhue,49,6,2,2,4,19-50,2018,19.13
Goodhue,49,5,2,1.5,3,19-50,2018,21.07
Goodhue,49,2,2,1,0,19-50,2018,17.97
Goodhue,49,2,2,1.5,0,19-50,2018,12.28
Goodhue,49,3,2,1.5,1,19-50,2018,16.58
Goodhue,49,2,2,2,0,19-50,2018,9.21
Goodhue,49,2,2,1,0,51+,2018,18.2
Goodhue,49,4,1,1,3,19-50,2018,32.99
Goodhue,49,2,2,2,0,51+,2018,9.33
Goodhue,49,1,1,1,0,51+,2018,14.37
Goodhue,49,5,2,2,3,19-50,2018,18.09
Goodhue,49,4,2,1,2,19-50,2018,25.47
Goodhue,49,4,2,2,2,19-50,2018,17.38
Goodhue,49,3,2,1,1,19-50,2018,21.72
Goodhue,49,6,2,1.5,4,19-50,2018,22.44
Goodhue,49,6,2,1,4,19-50,2018,28.92
Goodhue,49,5,2,1,3,19-50,2018,26.86
Houston,55,4,2,2,2,19-50,2018,16.01
Houston,55,4,1,1,3,19-50,2018,30.31
Houston,55,3,2,2,1,19-50,2018,12.47
Houston,55,6,2,1,4,19-50,2018,28.98
Houston,55,4,2,1,2,19-50,2018,25.62
Houston,55,1,1,1,0,19-50,2018,13.43
Houston,55,4,2,1.5,2,19-50,2018,19.4
Houston,55,5,2,1,3,19-50,2018,26.98
Houston,55,6,2,2,4,19-50,2018,17.73
Houston,55,1,1,1,0,51+,2018,13.53
Benton,9,2,2,1.5,0,19-50,2018,12.12
Benton,9,3,2,2,1,19-50,2018,12.76
Benton,9,2,2,1,0,19-50,2018,17.75
Benton,9,4,2,1.5,2,19-50,2018,19.59
Benton,9,3,2,1.5,1,19-50,2018,15.48
Benton,9,3,1,1,2,19-50,2018,29.08
Benton,9,1,1,1,0,19-50,2018,13.98
Cass,21,3,2,2,1,19-50,2018,12.57
Cass,21,2,2,1.5,0,19-50,2018,12.04
Cass,21,2,2,1,0,19-50,2018,17.63
Cass,21,5,2,2,3,19-50,2018,16.01
Cass,21,2,2,1.5,0,51+,2018,12.2
Cass,21,3,2,1,1,19-50,2018,21.2
Cass,21,4,2,1.5,2,19-50,2018,18.67
Cass,21,3,1,1,2,19-50,2018,26.9
Cass,21,1,1,1,0,19-50,2018,13.9
Cass,21,3,2,1.5,1,19-50,2018,15.49
Cass,21,5,1,1,4,19-50,2018,30.2
Cass,21,2,2,1,0,51+,2018,17.87
Cass,21,2,2,2,0,51+,2018,9.15
Cass,21,5,2,1,3,19-50,2018,26.2
Cass,21,2,2,2,0,19-50,2018,9.03
Cass,21,6,2,2,4,19-50,2018,17.05
Cass,21,5,2,1.5,3,19-50,2018,19.59
Cass,21,4,2,1,2,19-50,2018,24.82
Cass,21,6,2,1.5,4,19-50,2018,21
Cass,21,4,1,1,3,19-50,2018,28.77
Cass,21,2,1,1,1,19-50,2018,20.29
Cass,21,1,1,1,0,51+,2018,14.01
Cass,21,4,2,2,2,19-50,2018,15.3
Cass,21,6,2,1,4,19-50,2018,28.3
Chisago,25,6,2,1,4,19-50,2018,33.93
Chisago,25,4,2,2,2,19-50,2018,21.59
Chisago,25,5,1,1,4,19-50,2018,43.05
Chisago,25,4,1,1,3,19-50,2018,41.74
Chisago,25,6,2,1.5,4,19-50,2018,26.96
Chisago,25,2,2,1,0,51+,2018,20.42
Chisago,25,4,2,1,2,19-50,2018,30.69
Chisago,25,2,2,2,0,19-50,2018,10.36
Chisago,25,2,2,1.5,0,19-50,2018,13.81
Chisago,25,5,2,1.5,3,19-50,2018,25.58
Brown,15,6,2,1,4,19-50,2018,25.61
Brown,15,2,2,2,0,19-50,2018,8.13
Brown,15,4,2,1.5,2,19-50,2018,16.73
Brown,15,2,2,1,0,19-50,2018,15.91
Brown,15,1,1,1,0,19-50,2018,12.14
Brown,15,2,2,1.5,0,51+,2018,11
Brown,15,3,1,1,2,19-50,2018,24.67
Cottonwood,33,5,1,1,4,19-50,2018,28.7
Cottonwood,33,2,1,1,1,19-50,2018,18.17
Cottonwood,33,6,2,1,4,19-50,2018,26.94
Cottonwood,33,4,2,2,2,19-50,2018,14.45
Cottonwood,33,3,2,2,1,19-50,2018,11.37
Cottonwood,33,3,2,1,1,19-50,2018,19.15
Cottonwood,33,2,2,2,0,19-50,2018,8.24
Cottonwood,33,1,1,1,0,51+,2018,12.48
Cottonwood,33,4,2,1.5,2,19-50,2018,17.56
Cottonwood,33,2,2,1,0,51+,2018,16.35
Cottonwood,33,2,2,1,0,19-50,2018,16.12
Cottonwood,33,2,2,1.5,0,19-50,2018,10.98
Cottonwood,33,3,2,1.5,1,19-50,2018,14.03
Cottonwood,33,2,2,2,0,51+,2018,8.36
Cottonwood,33,3,1,1,2,19-50,2018,25.46
Cottonwood,33,4,1,1,3,19-50,2018,27.27
Cottonwood,33,6,2,2,4,19-50,2018,16.19
Cottonwood,33,5,2,1.5,3,19-50,2018,18.52
Cottonwood,33,5,2,2,3,19-50,2018,15.17
Cottonwood,33,1,1,1,0,19-50,2018,12.36
Cottonwood,33,2,2,1.5,0,51+,2018,11.15
Cottonwood,33,4,2,1,2,19-50,2018,23.32
Cottonwood,33,6,2,1.5,4,19-50,2018,19.91
Cottonwood,33,5,2,1,3,19-50,2018,24.72
Koochiching,71,6,2,1.5,4,19-50,2018,19.77
Koochiching,71,5,2,1,3,19-50,2018,24.33
Koochiching,71,1,1,1,0,19-50,2018,12.51
Koochiching,71,6,2,2,4,19-50,2018,16.25
Koochiching,71,4,1,1,3,19-50,2018,27.49
Koochiching,71,2,2,2,0,19-50,2018,8.32
Koochiching,71,3,2,1.5,1,19-50,2018,13.88
Koochiching,71,2,1,1,1,19-50,2018,18.18
Koochiching,71,5,2,1.5,3,19-50,2018,18.4
Koochiching,71,2,2,1,0,19-50,2018,16.27
Dakota,37,5,2,1.5,3,19-50,2018,26.79
Dakota,37,2,2,1.5,0,51+,2018,13.26
Dakota,37,4,2,2,2,19-50,2018,24.03
Dakota,37,3,2,1.5,1,19-50,2018,19.62
Dakota,37,4,1,1,3,19-50,2018,47.08
Dakota,37,3,2,2,1,19-50,2018,17.62
Dakota,37,2,2,1,0,19-50,2018,19.11
