countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,yearlyCost
Jackson,063,2,2,1,0,19-50,2018,33984
Jackson,063,2,2,2,0,19-50,2018,34752
Jackson,063,5,2,1.5,3,19-50,2018,56544
Jackson,063,3,1,1,2,19-50,2018,51744
Jackson,063,6,2,1,4,19-50,2018,54900
Jackson,063,5,2,1,3,19-50,2018,50268
Jackson,063,6,2,1.5,4,19-50,2018,61020
Jackson,063,3,2,2,1,19-50,2018,47196
Jackson,063,1,1,1,0,51+,2018,26292
Jackson,063,4,1,1,3,19-50,2018,55500
Jackson,063,2,2,1,0,51+,2018,34464
Jackson,063,5,2,2,3,19-50,2018,61860
Jackson,063,2,2,1.5,0,19-50,2018,34752
Jackson,063,3,2,1,1,19-50,2018,39852
Jackson,063,6,2,2,4,19-50,2018,66156
Jackson,063,2,2,1.5,0,51+,2018,35280
Jackson,063,4,2,1,2,19-50,2018,47268
Jackson,063,4,2,2,2,19-50,2018,58848
Kanabec,065,4,2,2,2,19-50,2018,73860
Kanabec,065,6,2,1,4,19-50,2018,63288
Kanabec,065,2,2,1.5,0,51+,2018,41436
Kanabec,065,5,2,1,3,19-50,2018,59124
Kanabec,065,6,2,1.5,4,19-50,2018,72516
Kanabec,065,2,2,1,0,51+,2018,40392
Kanabec,065,6,2,2,4,19-50,2018,81288
Kanabec,065,4,2,1,2,19-50,2018,56340
Kanabec,065,3,1,1,2,19-50,2018,65700
Kanabec,065,5,2,2,3,19-50,2018,76848
Becker,005,2,2,1,0,51+,2018,36744
Becker,005,4,1,1,3,19-50,2018,59100
Becker,005,4,2,1,2,19-50,2018,50388
Becker,005,6,2,2,4,19-50,2018,70092
Becker,005,6,2,1.5,4,19-50,2018,64356
Becker,005,5,2,1,3,19-50,2018,53316
Becker,005,4,2,2,2,19-50,2018,62856
Chippewa,023,5,2,1.5,3,19-50,2018,57288
Chippewa,023,6,2,1.5,4,19-50,2018,61608
Chippewa,023,2,2,2,0,19-50,2018,34296
Chippewa,023,2,2,1,0,51+,2018,34020
Chippewa,023,4,2,1,2,19-50,2018,47832
Chippewa,023,2,2,1.5,0,19-50,2018,34296
Chippewa,023,5,2,1,3,19-50,2018,50784
Chippewa,023,2,2,2,0,51+,2018,34800
Chippewa,023,3,2,2,1,19-50,2018,46848
Chippewa,023,4,2,1.5,2,19-50,2018,54276
Chippewa,023,2,2,1,0,19-50,2018,33540
Chippewa,023,2,2,1.5,0,51+,2018,34800
Chippewa,023,3,1,1,2,19-50,2018,52908
Chippewa,023,1,1,1,0,19-50,2018,25692
Chippewa,023,6,2,1,4,19-50,2018,55296
Chippewa,023,5,2,2,3,19-50,2018,62904
Chippewa,023,3,2,1,1,19-50,2018,38976
Chippewa,023,5,1,1,4,19-50,2018,59580
Chippewa,023,4,1,1,3,19-50,2018,56604
Chippewa,023,1,1,1,0,51+,2018,25920
Chippewa,023,4,2,2,2,19-50,2018,59916
Chippewa,023,2,1,1,1,19-50,2018,37500
Chippewa,023,3,2,1.5,1,19-50,2018,43056
Chippewa,023,6,2,2,4,19-50,2018,67092
Cook,031,3,2,2,1,19-50,2018,53112
Cook,031,1,1,1,0,51+,2018,27972
Cook,031,4,1,1,3,19-50,2018,63060
Cook,031,5,1,1,4,19-50,2018,65880
Cook,031,3,2,1,1,19-50,2018,40548
Cook,031,2,1,1,1,19-50,2018,43800
Cook,031,2,2,2,0,19-50,2018,36456
Cook,031,2,2,2,0,51+,2018,36984
Cook,031,6,2,1,4,19-50,2018,55104
Cook,031,1,1,1,0,19-50,2018,27732
Crow Wing,035,2,2,1.5,0,19-50,2018,37212
Crow Wing,035,6,2,2,4,19-50,2018,76572
Crow Wing,035,5,2,1.5,3,19-50,2018,63612
Crow Wing,035,5,2,1,3,19-50,2018,54468
Crow Wing,035,4,2,1.5,2,19-50,2018,60720
Crow Wing,035,5,1,1,4,19-50,2018,68724
Crow Wing,035,1,1,1,0,19-50,2018,28500
Goodhue,049,1,1,1,0,19-50,2018,29652
Goodhue,049,2,2,1.5,0,51+,2018,38808
Goodhue,049,3,2,2,1,19-50,2018,57684
Goodhue,049,2,1,1,1,19-50,2018,47616
Goodhue,049,5,1,1,4,19-50,2018,71592
Goodhue,049,4,2,1.5,2,19-50,2018,62796
Goodhue,049,3,1,1,2,19-50,2018,64716
Goodhue,049,6,2,2,4,19-50,2018,79584
Goodhue,049,5,2,1.5,3,19-50,2018,65724
Goodhue,049,2,2,1,0,19-50,2018,37368
Goodhue,049,2,2,1.5,0,19-50,2018,38304
Goodhue,049,3,2,1.5,1,19-50,2018,51720
Goodhue,049,2,2,2,0,19-50,2018,38304
Goodhue,049,2,2,1,0,51+,2018,37860
Goodhue,049,4,1,1,3,19-50,2018,68628
Goodhue,049,2,2,2,0,51+,2018,38808
Goodhue,049,1,1,1,0,51+,2018,29892
Goodhue,049,5,2,2,3,19-50,2018,75264
Goodhue,049,4,2,1,2,19-50,2018,52980
Goodhue,049,4,2,2,2,19-50,2018,72300
Goodhue,049,3,2,1,1,19-50,2018,45180
Goodhue,049,6,2,1.5,4,19-50,2018,70020
Goodhue,049,6,2,1,4,19-50,2018,60144
Goodhue,049,5,2,1,3,19-50,2018,55860
Houston,055,4,2,2,2,19-50,2018,66612
Houston,055,4,1,1,3,19-50,2018,63036
Houston,055,3,2,2,1,19-50,2018,51876
Houston,055,6,2,1,4,19-50,2018,60288
Houston,055,4,2,1,2,19-50,2018,53292
Houston,055,1,1,1,0,19-50,2018,27924
Houston,055,4,2,1.5,2,19-50,2018,60516
Houston,055,5,2,1,3,19-50,2018,56112
Houston,055,6,2,2,4,19-50,2018,73776
Houston,055,1,1,1,0,51+,2018,28140
Benton,009,2,2,1.5,0,19-50,2018,37824
Benton,009,3,2,2,1,19-50,2018,53088
Benton,009,2,2,1,0,19-50,2018,36912
Benton,009,4,2,1.5,2,19-50,2018,61128
Benton,009,3,2,1.5,1,19-50,2018,48288
Benton,009,3,1,1,2,19-50,2018,60480
Benton,009,1,1,1,0,19-50,2018,29088
Cass,021,3,2,2,1,19-50,2018,52284
Cass,021,2,2,1.5,0,19-50,2018,37560
Cass,021,2,2,1,0,19-50,2018,36672
Cass,021,5,2,2,3,19-50,2018,66612
Cass,021,2,2,1.5,0,51+,2018,38076
Cass,021,3,2,1,1,19-50,2018,44088
Cass,021,4,2,1.5,2,19-50,2018,58248
